R    400       800

A    0.3                12,12,100

c    111,444.2,-10.5    0.3,0.5,0.7    120
c    222,555.2,-25.5    0,0,0          130
c    333,666.2,-75.5    -1,-1.0,1      150

l    120,-13,600.5      1.0            255,200,200
l    10,-20.5,259       0.8            100,100,100

sp   30,-200,7.8        30             203,32,57
sp   -50.3,100,-8        40             60,0,100

pl   300,-2500,3.8      1             213,45,98
pl   030,-90,7.9        -1             253,12,123

sq   313,234,-123.4   0.5     12.3    155,234,123
sq   300,124,-100.4   -0.8    80.3    255,255,255

cy   10,-10,10.5    -1   50   35      12,220,60
cy   0,-100,25.5    1    220   10     212,20,78
